word,frequency,pos,example_sentence
के,7483.0,POSTPOSITION,यह किताब मेरे दोस्त के लिए है।
है,6838.0,VERB,वह आज घर पर है।
में,6642.0,POSTPOSITION,मैं बाजार में गया था।
और,5423.0,CONJUNCTION,राम और श्याम अच्छे दोस्त हैं।
से,5109.0,POSTPOSITION,वह स्कूल से वापिस आया।
की,4490.0,POSTPOSITION,यह उनकी अपनी की पसंद है।
को,4126.0,POSTPOSITION,सबेरे को मैं पार्क में जाता हूँ।
हैं,3869.0,VERB,वे सभी इस कक्षा में हैं।
का,3494.0,POSTPOSITION,यह मेरी बाइक का हिस्सा है।
पर,2457.0,POSTPOSITION,वह किताब मेज़ पर रखी है।
एक,2392.0,ADJ,यह एक सुंदर दिन है।
कि,1900.0,CONJUNCTION,मुझे लगता है कि वह सही है।
भी,1883.0,ADV,मैं भी उसी फिल्म को देखना चाहता हूँ।
तो,1518.0,CONJUNCTION,अगर ऐसा है तो मुझे बताओ।
लिए,1469.0,POSTPOSITION,यह तुम्हारे लिए है।
इस,1463.0,PRON,इस कमरे में बहुत सन्नाटा है।
नहीं,1355.0,ADV,मुझे यह पसंद नहीं है।
क्या,1344.0,PRON,क्या तुमने अपना काम पूरा किया?
अपने,1334.0,PRON,उसने अपने काम को अच्छी तरह से पूरा किया।
यह,1327.0,PRON,यह मेरा घर है।
ने,1289.0,POSTPOSITION,राम ने किताब पढ़ी।
हो,1206.0,VERB,वह बहुत खुश हो सकता है।
ही,1167.0,ADV,वह अभी ही यहाँ आया है।
था,1059.0,VERB,वह कल यहाँ था।
आप,1054.0,PRON,आप कैसे हैं?
कुछ,978.0,PRON,मुझे आपके लिए कुछ काम है।
गया,953.0,VERB,वह स्कूल गया।
वह,937.0,PRON,वह मेरी किताब है।
गए,937.0,VERB,वे सिनेमा देखने गए।
या,924.0,CONJUNCTION,तुम्हारा नाम शेफाली है या मोहन?
शब्द,869.0,NOUN,मुझे इस शब्द का अर्थ नहीं पता।
गई,806.0,VERB,वह दिल्ली चली गई।
साथ,763.0,POSTPOSITION,वह अपने माता-पिता के साथ रहता है।
मैं,720.0,PRON,मैं आपकी मदद कर सकता हूँ।
कीजिए,696.0,VERB,कृपया मेरे प्रश्न का उत्तर दीजिए।
कौन,663.0,PRON,कौन इस खेल में रुचि रखता है?
नीचे,661.0,ADJ,वह मकान के नीचे खड़ा है।
कर,659.0,VERB,आप अपनी पढ़ाई जारी कर सकते हैं।
